x_m, y_m, vx_mps, ax_mps2
-87.99016651907,-100.377392460126,20,0
-88.530927701969,-101.218568620272,20,0
-89.071688886033,-102.059744790196,20,0
-89.60081421805,-102.908260760363,20,0
-90.127048557973,-103.758600350003,20,0
-90.653282899991,-104.60893994011,20,0
-91.179517240962,-105.459279530216,20,0
-91.705751582048,-106.309619120322,20,0
-92.231985923019,-107.159958709962,20,0
-92.758220263989,-108.010298300069,20,0
-93.28182982502,-108.862238530069,20,0
-93.796865254058,-109.719407420139,20,0
-94.31190068298,-110.57657631021,20,0
-94.826936113066,-111.43374520028,20,0
-95.341971541987,-112.29091409035,20,0
-95.857006969978,-113.148082979955,20,0
-96.372042400064,-114.005251870025,20,0
-96.886895918985,-114.86252808012,20,0
-97.388028757996,-115.727898450102,20,0
-97.889161598985,-116.593268820084,20,0
-98.390294439043,-117.458639190066,20,0
-98.8914272780526,-118.324009560048,20,0
-99.3925601190418,-119.18937993003,20,0
-99.8936929580519,-120.054750300012,20,0
-100.394825797993,-120.920120669994,20,0
-100.884847308043,-121.79180637002,20,0
-101.371946990955,-122.665152749978,20,0
-101.859046673984,-123.538499129936,20,0
-102.346146355965,-124.41184551036,20,0
-102.833246038993,-125.285191890318,20,0
-103.320345720974,-126.158538270276,20,0
-103.807445404003,-127.031884650234,20,0
-104.286466798978,-127.909651509952,20,0
-104.759406413068,-128.790746350307,20,0
-105.232346025994,-129.671841190196,20,0
-105.705285639036,-130.55293604033,20,0
-106.178225251962,-131.43403088022,20,0
-106.651164866052,-132.31512572011,20,0
-107.124104478978,-133.196220570244,20,0
-107.592056305962,-134.07994104037,20,0
-108.050712627009,-134.968554780353,20,0
-108.509368948056,-135.857168520335,20,0
-108.968025270034,-136.745782260317,20,0
-109.426681590965,-137.634396000299,20,0
-109.885337912012,-138.523009740282,20,0
-110.343994233058,-139.411623480264,20,0
-110.800808281987,-140.301169350277,20,0
-111.245061810012,-141.197070470079,20,0
-111.689315338037,-142.092971580103,20,0
-112.133568866062,-142.988872690126,20,0
-112.57782239397,-143.884773800149,20,0
-113.022075921995,-144.780674910173,20,0
-113.46632945002,-145.676576029975,20,0
-113.910582978045,-146.572477139998,20,0
-114.341673744027,-147.474773480091,20,0
-114.771408731001,-148.377728539984,20,0
-115.201143717044,-149.280683600344,20,0
-115.63087870297,-150.183638670016,20,0
-116.06061369006,-151.086593730375,20,0
-116.490348675986,-151.989548790268,20,0
-116.92008366296,-152.892503850162,20,0
-117.339792012004,-153.800131920259,20,0
-117.754896491067,-154.709905660245,20,0
-118.170000968966,-155.61967941001,20,0
-118.58510544803,-156.529453160241,20,0
-119.000209926976,-157.439226910006,20,0
-119.41531440604,-158.349000649992,20,0
-119.830418884987,-159.258774400223,20,0
-120.238684174954,-160.171602240298,20,0
-120.639049991965,-161.087957629934,20,0
-121.039415808976,-162.00431303028,20,0
-121.439781627035,-162.920668420382,20,0
-121.840147444047,-163.837023820262,20,0
-122.240513261058,-164.753379220143,20,0
-122.640879079001,-165.669734610244,20,0
-123.037641956005,-166.587629660032,20,0
-123.423164798063,-167.510327960364,20,0
-123.808687640004,-168.433026249986,20,0
-124.194210482062,-169.355724540073,20,0
-124.579733324004,-170.27842283016,20,0
-124.965256166062,-171.201121130027,20,0
-125.350779008004,-172.123819420114,20,0
-125.735981408972,-173.046648570336,20,0
-126.106560828979,-173.975449350197,20,0
-126.477140250033,-174.904250130057,20,0
-126.847719668992,-175.833050920162,20,0
-127.218299090047,-176.761851700023,20,0
-127.588878510054,-177.690652480349,20,0
